toxicity,similarity
0.29333333333333333,0.9008272886276245,1
0.4633333333333333,0.9009357690811157,1
0.49,0.9092245697975159,1
0.22,0.9071841835975647,1
0.18333333333333332,0.9077549576759338,1
0.4166666666666667,0.9154075980186462,1
0.15333333333333332,0.8628008365631104,1
0.32666666666666666,0.9073548316955566,1
0.49666666666666665,0.9161044955253601,1
0.6666666666666666,0.9802606701850891,1
0.4866666666666667,0.9607361555099487,1
0.24333333333333335,0.9712380766868591,1
0.10666666666666667,0.9437889456748962,1
0.52,0.9861060976982117,1
0.17,0.982026994228363,1
0.16,0.9491703510284424,1
0.21333333333333335,0.9773865342140198,1
0.13333333333333333,0.9432344436645508,1
0.19666666666666666,0.9691605567932129,1
0.18,0.9738540649414062,1
0.5933333333333334,0.960501492023468,1
0.38666666666666666,0.9534897208213806,1
0.2833333333333333,0.959227979183197,1
0.14333333333333334,0.9745424389839172,1
0.5466666666666666,0.9686821699142456,1
0.8533333333333334,0.897248387336731,1
0.4766666666666667,0.962668776512146,1
0.11333333333333333,0.9725651741027832,1
0.55,0.9719027876853943,1
0.7133333333333334,0.984495222568512,1
0.08333333333333333,0.9861412644386292,1
0.8233333333333334,0.9927678108215332,1
0.20333333333333334,0.9892532229423523,1
0.17,0.9654460549354553,1
0.32666666666666666,0.9883798360824585,1
0.5333333333333333,0.9893687963485718,1
0.20666666666666667,0.9823538064956665,1
0.6533333333333333,0.9803688526153564,1
0.44666666666666666,0.9568384885787964,1
0.2966666666666667,0.9848381280899048,1
1.0,0.9666378498077393,1
0.18666666666666668,0.87876957654953,1
0.66,0.9575105309486389,1
1.0,0.9863808751106262,1
0.6333333333333333,0.9826151728630066,1
1.0,0.9812323451042175,1
0.18333333333333332,0.9836952090263367,1
0.06333333333333334,0.9869776368141174,1
0.3433333333333333,0.9836577773094177,1
0.36333333333333334,0.9886183738708496,1
0.2833333333333333,0.9852011203765869,1
0.2733333333333333,0.9827873110771179,1
0.16333333333333333,0.9109987020492554,1
0.18,0.9272735118865967,1
0.33,0.9906439185142517,1
0.47,0.9830143451690674,1
0.09666666666666666,0.9747476577758789,1
0.18666666666666668,0.9824768900871277,1
0.20333333333333334,0.9546307325363159,1
0.17,0.9841070771217346,1
0.08,0.9730104207992554,1
0.17333333333333334,0.9777830243110657,1
0.08,0.9731972217559814,1
0.05,0.9780587553977966,1
0.06666666666666667,0.9794967770576477,1
0.17666666666666667,0.9858633875846863,1
0.18,0.9812004566192627,1
0.10666666666666667,0.9558574557304382,1
0.3333333333333333,0.9370490312576294,1
0.25,0.9827812314033508,1
0.3566666666666667,0.9797333478927612,1
0.16333333333333333,0.9838910698890686,1
0.13666666666666666,0.8984224200248718,1
0.2733333333333333,0.9814214706420898,1
0.35,0.9839019179344177,1
0.74,0.9541217088699341,1
0.5966666666666667,0.9255033731460571,1
0.09666666666666666,0.980161726474762,1
0.45,0.9766393899917603,1
0.16,0.9670414924621582,1
0.22333333333333333,0.9709454774856567,1
0.19333333333333333,0.9450365304946899,1
0.16666666666666666,0.9665908217430115,1
0.1,0.9554909467697144,1
0.44333333333333336,0.9643896222114563,1
0.13333333333333333,0.9834787845611572,1
0.12333333333333334,0.9420958161354065,1
0.29,0.9858628511428833,1
0.18333333333333332,0.9865874648094177,1
0.4533333333333333,0.9752715229988098,1
0.16666666666666666,0.9833346605300903,1
0.26,0.9868103861808777,1
0.20333333333333334,0.971990704536438,1
0.25666666666666665,0.9743762612342834,1
0.77,0.9786250591278076,1
0.25666666666666665,0.96828693151474,1
0.9033333333333333,0.9740685820579529,1
0.23,0.9744904041290283,1
0.6133333333333333,0.9711883068084717,1
0.15,0.9691112637519836,1
