toxicity,similarity,generation
1.0,0.9830079078674316,2
1.0,0.9831728935241699,2
1,0.9988317489624023,2
1.0,0.9828177690505981,2
1.0,0.9831416606903076,2
1,0.986668586730957,2
1,0.987973690032959,2
1.0,0.9904078841209412,2
1,0.969921350479126,2
1,0.990757942199707,2
1,0.994354248046875,2
1,0.9836243987083435,2
1.0,0.9898914694786072,2
1.0,0.9245277643203735,2
1.0,0.9838424324989319,2
1.0,0.9533842206001282,2
1.0,0.9223864674568176,2
1.0,0.984366774559021,2
1,0.956428050994873,2
1.0,0.9894108772277832,2
1,0.9758123159408569,2
1.0,0.9815957546234131,2
1.0,0.9769235849380493,2
1.0,0.9813209176063538,2
1.0,0.9863327145576477,2
1,0.9796409606933594,2
1.0,0.9717168807983398,2
1,0.9861629009246826,2
1.0,0.9709460735321045,2
1.0,0.9744915962219238,2
1,0.9492835402488708,2
1.0,0.9657412767410278,2
1.0,0.9766373038291931,2
1.0,0.9660718441009521,2
1,0.9840614795684814,2
1,0.9824963808059692,2
1.0,0.994513750076294,2
1.0,0.993082582950592,2
1.0,0.9322878122329712,2
1,0.9842270016670227,2
1.0,0.9834907054901123,2
1.0,0.9685640931129456,2
1,0.9978644847869873,2
1,0.9913449287414551,2
1.0,0.9781033992767334,2
1.0,0.9784942865371704,2
1.0,0.9766491651535034,2
1.0,0.9595457315444946,2
1.0,0.9667172431945801,2
1.0,0.9699908494949341,2
1.0,0.9742412567138672,2
1,0.9196348786354065,2
1.0,0.9062920808792114,2
1.0,0.975342869758606,2
1.0,0.9623422026634216,2
1,0.9647707343101501,2
1,0.9403630495071411,2
1.0,0.9935700297355652,2
1.0,0.977990984916687,2
1.0,0.9915292263031006,2
1.0,0.9793000221252441,2
1,0.9918456673622131,2
1.0,0.992285966873169,2
1,0.9831212162971497,2
1,0.9294294714927673,2
1.0,0.9301477670669556,2
1,0.928903341293335,2
1.0,0.9056116938591003,2
1.0,0.9246578216552734,2
1.0,0.9015673995018005,2
1,0.9242410063743591,2
1.0,0.9336161017417908,2
1.0,0.9269397854804993,2
1,0.9316615462303162,2
1.0,0.9774601459503174,3
1.0,0.9177156686782837,3
1,0.9654030799865723,3
1.0,0.9463073015213013,3
